instancia,tecnica,semente,custo,iteracao_melhor,iteracoes,tempo_s
Leve,GA,0,110773,1894,10609,30.00
Leve,GA,1,113486,2892,9972,30.00
Leve,GA,2,114288,1162,10259,30.00
Leve,ACO,0,116064,501,1068,30.02
Leve,ACO,1,114506,694,1071,30.01
Leve,ACO,2,116850,834,1056,30.02
Intermediária,GA,0,6106,3799,3801,30.00
Intermediária,GA,1,5022,3905,3905,30.00
Intermediária,GA,2,7310,3748,3748,30.01
Intermediária,ACO,0,4331,94,127,30.15
Intermediária,ACO,1,4318,90,111,30.15
Intermediária,ACO,2,4289,98,115,30.03
Pesada,GA,0,262538,1413,1413,30.02
Pesada,GA,1,260212,1377,1378,30.02
Pesada,GA,2,272687,1278,1287,30.01
Pesada,ACO,0,66334,25,32,30.57
Pesada,ACO,1,66250,29,29,30.12
Pesada,ACO,2,68021,26,28,30.61
